,precision,recall,f1-score,support
µ╗ïµ║Éτöƒσº£σ╝║µá╣σüÑσÅæµèñσÅæτ┤á535,0.0,0.0,0.0,4.0
µ╛│τëºσä┐τ½ÑµêÉΘò┐τë¢σÑ╢,0.0,0.0,0.0,7.0
µ╜«σ¢¡τ║»µ¡úµ⌐äµªäΦÅ£450g,0.0,0.0,0.0,4.0
µ╜ÿσ⌐╖µ┤╗µÇºτé¡µùáτíàµ▓╣σçÇΘÇÅσÄ╗σ▒æµ┤ùσÅæµ░┤300,0.0,0.0,0.0,5.0
µ╜ÿσ⌐╖µ░¿σƒ║Θà╕µùáτíàµ▓╣σçÇµ▓╣µ░┤µ╢ªµ┤ùσÅæµ░┤530,0.0,0.0,0.0,2.0
µ╜ÿσ⌐╖µ░┤µ╢ªµ╗ïσà╗µ┤ùσÅæΘ£▓400,0.0,0.0,0.0,1.0
µ╜ÿσ⌐╖Σ╕¥Φ┤¿Θí║µ╗æµ┤ùσÅæΘ£▓400,0.0,0.0,0.0,5.0
µ╜ÿσ⌐╖Σ╕¥Φ┤¿Θí║µ╗æµ┤ùσÅæΘ£▓750,0.0,0.0,0.0,4.0
µ╜ÿσ⌐╖Σ╕¥Φ┤¿Θí║µ╗æµ╢ªσÅæτ▓╛σìÄτ┤á400,0.0,0.0,0.0,2.0
µ╜ÿσ⌐╖Σ╕¥Φ┤¿Θí║µ╗æµ╢ªσÅæτ▓╛σìÄτ┤á750,0.0,0.0,0.0,5.0
